text,label
"Capillaria philippinensis may cause a range of symptoms including abdominal pain, vomiting, and fever, particularly during the acute phase of infection.","Capillaria philippinensis"
"Enterobius vermicularis infections are commonly associated with abdominal discomfort and a loss of appetite in young children due to the discomfort.","Enterobius vermicularis"
"Fasciolopsis buski infection is often marked by abdominal tenderness, pain in the upper right quadrant, and digestive disturbances.","Fasciolopsis buski"
"Ascaris lumbricoides infections can cause a range of symptoms from mild gastrointestinal disturbances to serious respiratory issues due to lung migration of larvae.","Ascaris lumbricoides"
"Capillaria philippinensis can lead to severe malnutrition and dehydration due to chronic diarrhea and vomiting in affected individuals.","Capillaria philippinensis"
"Enterobius vermicularis infections can result in restless sleep, particularly in children, as they experience itching around the anus.","Enterobius vermicularis"
"Fasciolopsis buski infection can lead to liver dysfunction, presenting with jaundice, fever, and generalized malaise.","Fasciolopsis buski"
"Ascaris lumbricoides may cause digestive upset, including nausea, abdominal cramping, and bloating in infected individuals.","Ascaris lumbricoides"
"Capillaria philippinensis infection can cause dehydration, electrolyte imbalances, and persistent diarrhea, leading to a significant loss of body weight.","Capillaria philippinensis"
"Enterobius vermicularis infections can result in restlessness, irritability, and even urinary incontinence in children due to the itchiness.","Enterobius vermicularis"
"Fasciolopsis buski infection can cause fever, fatigue, and right upper quadrant pain as the fluke affects the liver and bile ducts.","Fasciolopsis buski"
"Ascaris lumbricoides may cause respiratory symptoms such as wheezing, coughing, and chest pain due to larval migration through the lungs.","Ascaris lumbricoides"
"Capillaria philippinensis infection can result in significant weight loss, fatigue, and severe abdominal pain, which may mimic other gastrointestinal disorders.","Capillaria philippinensis"
"Enterobius vermicularis infections can result in restlessness, irritability, and even urinary incontinence in children due to the itchiness.","Enterobius vermicularis"
"Fasciolopsis buski infection can cause nausea, vomiting, and upper abdominal pain, often triggered by eating raw aquatic plants.","Fasciolopsis buski"
"Ascaris lumbricoides may cause intestinal obstructions, resulting in severe pain and bloating, especially if the infection is left untreated.","Ascaris lumbricoides"
"Capillaria philippinensis can cause symptoms ranging from mild abdominal pain to severe malnutrition, vomiting, and dehydration in severe cases.","Capillaria philippinensis"
"Enterobius vermicularis can cause nocturnal anal itching, leading to sleep disturbances and discomfort.","Enterobius vermicularis"
"Fasciolopsis buski infection can cause chronic fatigue, weight loss, and abdominal tenderness as the parasite causes inflammation in the digestive tract.","Fasciolopsis buski"
"The most common treatment for Ascaris lumbricoides infection is the use of albendazole, which effectively kills the adult worms.","Ascaris lumbricoides"
"Capillaria philippinensis infections are often treated with anthelmintic drugs like mebendazole or albendazole, alongside supportive therapy.","Capillaria philippinensis"
"Enterobius vermicularis is commonly treated with mebendazole or pyrantel pamoate, which eliminate the adult worms.","Enterobius vermicularis"
"Fasciolopsis buski infections are treated with praziquantel, an effective anti-parasitic medication that targets the flukes.","Fasciolopsis buski"
"Ascaris lumbricoides infections can be treated with single doses of albendazole or mebendazole, which kill the adult worms in the intestines.","Ascaris lumbricoides"
"In cases of Capillaria philippinensis, the treatment typically involves the use of albendazole or mebendazole for a period of several weeks.","Capillaria philippinensis"
"Enterobius vermicularis is often treated with a single dose of mebendazole or pyrantel pamoate, followed by a second dose after two weeks to prevent reinfection.","Enterobius vermicularis"
"Fasciolopsis buski is treated with praziquantel, which disrupts the parasite's ability to survive, leading to its death.","Fasciolopsis buski"
"In severe cases of Ascaris lumbricoides infection, corticosteroids may be prescribed to reduce inflammation caused by larval migration through the lungs.","Ascaris lumbricoides"
"Capillaria philippinensis treatment requires the use of anti-parasitic medications like albendazole, along with managing dehydration and electrolyte imbalances.","Capillaria philippinensis"
"For Enterobius vermicularis, treating all household members simultaneously with mebendazole helps prevent reinfection and reduces transmission risk.","Enterobius vermicularis"
"Fasciolopsis buski infection is treated with praziquantel, which can be combined with supportive treatments to manage symptoms like abdominal pain.","Fasciolopsis buski"
"Ascaris lumbricoides may require multiple courses of albendazole in persistent cases, especially if reinfection occurs.","Ascaris lumbricoides"
"Capillaria philippinensis can be effectively treated with albendazole or mebendazole, but supportive care for dehydration and electrolyte loss is crucial.","Capillaria philippinensis"
"Enterobius vermicularis infections are often treated with a second dose of anti-parasitic medication after two weeks to ensure the eggs have been eliminated.","Enterobius vermicularis"
"Fasciolopsis buski can cause long-term complications, so treatment with praziquantel should be followed by regular monitoring of liver function.","Fasciolopsis buski"
"Albendazole is the drug of choice for treating Ascaris lumbricoides and is effective in eliminating adult worms from the intestines.","Ascaris lumbricoides"
"Capillaria philippinensis treatment often involves the use of albendazole or mebendazole, but supportive care for malnutrition and dehydration is vital.","Capillaria philippinensis"
"Enterobius vermicularis is treated effectively with a combination of anti-parasitic drugs and hygiene measures.","Enterobius vermicularis"
"Fasciolopsis buski infection is treated with praziquantel, with follow-up therapy to monitor liver health and manage any residual symptoms.","Fasciolopsis buski"
"Ascaris lumbricoides infections can be controlled through proper sanitation, deworming medications, and regular health checkups to prevent reinfection.","Ascaris lumbricoides"
"Capillaria philippinensis requires a combination of anti-parasitic drugs and symptomatic treatment to resolve the infection and prevent complications.","Capillaria philippinensis"
"Enterobius vermicularis requires thorough cleaning of living environments to eliminate eggs and prevent reinfection after treatment with anti-parasitic drugs.","Enterobius vermicularis"
"Fasciolopsis buski can be treated with a dose of praziquantel, but additional treatment may be needed to address any liver damage caused by the fluke.","Fasciolopsis buski"
